sensor_id,lat,lon
602_2_504,36.221977,-11.5328545
603_1_501,36.215790,-11.5332832
603_2_499,36.209446,-11.5338936
604_1_498,36.202389,-11.5342422
604_2_496,36.195332,-11.5343216
605_1_494,36.188988,-11.5343811
605_2_493,36.181931,-11.5342346
606_1_491,36.173523,-11.5339928
606_2_489,36.164284,-11.5338737
607_1_486,36.155247,-11.5338379
607_2_484,36.148148,-11.5338142
608_1_483,36.137085,-11.5336914
608_2_480,36.125229,-11.5331406
609_1_479,36.119362,-11.5320976
609_2_477,36.116428,-11.5309235
610_1_475,36.111828,-11.5300835
610_2_473,36.104454,-11.5296074
611_1_471,36.096840,-11.5292625
611_2_469,36.089306,-11.5290482
612_1_467,36.081139,-11.5290169
612_2_465,36.073963,-11.5289970
